HAPLOTYPE_CALL,PREFIX,TYPE,allele,CALL_COUNT,haplo_allele,allele_ipd
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001_05_01_01,Mamu-A1_001g3-diag
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001_05_01_01,Mamu-A1__001_05_01_01-gen
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001_05_01_01,Mamu-A1__001_05_01_01-nuc
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001g1,Mamu-A1_001g1-diag
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001g1,Mamu-A1__001_01_01_01-gen
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001g1,Mamu-A1__001_01_01_02-gen
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001g1,Mamu-A1__001_02-nuc
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001g1,Mamu-A1__001_01_01_01-nuc
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001g1,Mamu-A1__001_01_01_02-nuc
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001g2,Mamu-A1_001g2-diag
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001g2,Mamu-A1__001_03-gen
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001g2,Mamu-A1__001_03-nuc
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001g2,Mamu-A1__001_04-nuc
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001g2,Mamu-A1__001_06_01_01-nuc
A003.01,Mamu,MHC_A_HAPLOTYPES,A1_003,1,01_Mamu-A1_003_02_01_01,Mamu-A1_003g2-diag
A003.01,Mamu,MHC_A_HAPLOTYPES,A1_003,1,01_Mamu-A1_003_02_01_01,Mamu-A1__003_02_01_01-gen
A003.01,Mamu,MHC_A_HAPLOTYPES,A1_003,1,01_Mamu-A1_003_02_01_01,Mamu-A1__003_02_01_01-nuc
A019.02,Mamu,MHC_A_HAPLOTYPES,A1_003,2,01_Mamu-A1_003_02_01_01,Mamu-A1_003g2-diag
A019.02,Mamu,MHC_A_HAPLOTYPES,A1_003,2,01_Mamu-A1_003_02_01_01,Mamu-A1__003_02_01_01-gen
A019.02,Mamu,MHC_A_HAPLOTYPES,A1_003,2,01_Mamu-A1_003_02_01_01,Mamu-A1__003_02_01_01-nuc
A224.01,Mamu,MHC_A_HAPLOTYPES,A1_003,2,01_Mamu-A1_003_02_01_01,Mamu-A1_003g2-diag
A224.01,Mamu,MHC_A_HAPLOTYPES,A1_003,2,01_Mamu-A1_003_02_01_01,Mamu-A1__003_02_01_01-gen
A224.01,Mamu,MHC_A_HAPLOTYPES,A1_003,2,01_Mamu-A1_003_02_01_01,Mamu-A1__003_02_01_01-nuc
A003.01,Mamu,MHC_A_HAPLOTYPES,A1_003,1,01_Mamu-A1_003_09,Mamu-A1__003_09-nuc-diag
