HAPLOTYPE_CALL,PREFIX,TYPE,allele,CALL_COUNT,haplo_allele,allele_ipd
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001_05_01_01,Mamu-A1_001_05g1-miseq
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001_05_01_01,Mamu-A1_001_05_01_01-gen
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001_05_01_01,Mamu-A1_001_05_01_01-exon
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001g1,Mamu-A1_001_01g1-miseq
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001g1,Mamu-A1_001_01_01_01-gen
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001g1,Mamu-A1_001_01_01_02-gen
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001g1,Mamu-A1_001_01_01_01-exon
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001g1,Mamu-A1_001_01_01_02-exon
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001g1,Mamu-A1_001_02-exon
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001g2,Mamu-A1_001_03g1-miseq
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001g2,Mamu-A1_001_03-gen
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001g2,Mamu-A1_001_03-exon
A001.01,Mamu,MHC_A_HAPLOTYPES,A1_001,1,01_Mamu-A1_001g2,Mamu-A1_001_04-exon
A003.01,Mamu,MHC_A_HAPLOTYPES,A1_003,1,01_Mamu-A1_003_02_01_01,Mamu-A1_003_02g1-miseq
A003.01,Mamu,MHC_A_HAPLOTYPES,A1_003,1,01_Mamu-A1_003_02_01_01,Mamu-A1_003_02_01_01-gen
A003.01,Mamu,MHC_A_HAPLOTYPES,A1_003,1,01_Mamu-A1_003_02_01_01,Mamu-A1_003_02_01_01-exon
A019.02,Mamu,MHC_A_HAPLOTYPES,A1_003,2,01_Mamu-A1_003_02_01_01,Mamu-A1_003_02g1-miseq
A019.02,Mamu,MHC_A_HAPLOTYPES,A1_003,2,01_Mamu-A1_003_02_01_01,Mamu-A1_003_02_01_01-gen
A019.02,Mamu,MHC_A_HAPLOTYPES,A1_003,2,01_Mamu-A1_003_02_01_01,Mamu-A1_003_02_01_01-exon
A224.01,Mamu,MHC_A_HAPLOTYPES,A1_003,2,01_Mamu-A1_003_02_01_01,Mamu-A1_003_02g1-miseq
A224.01,Mamu,MHC_A_HAPLOTYPES,A1_003,2,01_Mamu-A1_003_02_01_01,Mamu-A1_003_02_01_01-gen
A224.01,Mamu,MHC_A_HAPLOTYPES,A1_003,2,01_Mamu-A1_003_02_01_01,Mamu-A1_003_02_01_01-exon
A003.01,Mamu,MHC_A_HAPLOTYPES,A1_003,1,01_Mamu-A1_003_09,Mamu-A1_003_09-exon-miseq
A003.01,Mamu,MHC_A_HAPLOTYPES,A1_003,1,01_Mamu-A1_003_09,Mamu-A1_003_09-exon
A019.02,Mamu,MHC_A_HAPLOTYPES,A1_003,2,01_Mamu-A1_003_09,Mamu-A1_003_09-exon-miseq
A019.02,Mamu,MHC_A_HAPLOTYPES,A1_003,2,01_Mamu-A1_003_09,Mamu-A1_003_09-exon
A224.01,Mamu,MHC_A_HAPLOTYPES,A1_003,2,01_Mamu-A1_003_09,Mamu-A1_003_09-exon-miseq
A224.01,Mamu,MHC_A_HAPLOTYPES,A1_003,2,01_Mamu-A1_003_09,Mamu-A1_003_09-exon
A003.01,Mamu,MHC_A_HAPLOTYPES,A1_003,1,01_Mamu-A1_003_18,Mamu-A1_003_18-exon-miseq
A003.01,Mamu,MHC_A_HAPLOTYPES,A1_003,1,01_Mamu-A1_003_18,Mamu-A1_003_18-exon
A019.02,Mamu,MHC_A_HAPLOTYPES,A1_003,2,01_Mamu-A1_003_18,Mamu-A1_003_18-exon-miseq
A019.02,Mamu,MHC_A_HAPLOTYPES,A1_003,2,01_Mamu-A1_003_18,Mamu-A1_003_18-exon
A224.01,Mamu,MHC_A_HAPLOTYPES,A1_003,2,01_Mamu-A1_003_18,Mamu-A1_003_18-exon-miseq
A224.01,Mamu,MHC_A_HAPLOTYPES,A1_003,2,01_Mamu-A1_003_18,Mamu-A1_003_18-exon
